Authors,Title,Publication year,Pages,Page Count,ISBN,URLs,Abstract,Keywords
De Lima N,"Building Secure, Resilient and Compliant Solutions on the IBM Cloud for Financial Services",2021,302–304,2,,,"The IBM Cloud for Financial services is an industry specialized public cloud, grounded in enterprise grade security and open technology. It provides the security, compliance and resiliency required by financial institutions to confidently operate mission critical workloads in a public cloud environment. At the core of the IBM Cloud for Financial services is the IBM Cloud Framework for Financial Services. This controls framework defines technical and operational controls that validated IBM Cloud Services comply to. Independent software vendors can then leverage these cloud services to build FS Cloud compliant solutions that also need to comply to the controls of the controls framework. This enables financial institutions, and their technology ecosystem partners, to securely and confidently transact with each other.The purpose of this 90 minute workshop was to provide attendees guidance on how to build and operate secure, resilient, and regulatory compliant solutions by using the IBM Cloud for Financial Services. In this workshop, attendees were introduced to the IBM Cloud for Financial Services and the types of security and compliance controls included in the controls framework. They learned about the IBM Cloud infrastructure and platform services that have been designated as FS validated. Examples of these services include the Virtual Private Cloud compute and related networking and storage options, Hyper Protect Crypto Services, and IBM Cloud databases to name a few. Guidance was provided on how to leverage these validated services and other 3rd party software components to architect secure and resilient solutions on the IBM Cloud for Financial Services. The information provided during the workshop along with useful references that provide detailed information, would enable attendees develop and operate solutions on the IBM Cloud for Financial Services and ensure that they are compliant with the controls framework.","privacy, Red Hat OpenShift Kubernetes service, encryption, IBM identity and access management, IBM cloud, hyper protect crypto services, virtual private cloud, security, high availability, VMWare for regulated workloads, financial services"
"Ko H,Jin J,Keoh SL",ViotSOC: Controlling Access to Dynamically Virtualized IoT Services Using Service Object Capability,2017,69–80,11,9781450349567,https://doi.org/10.1145/3055186.3055194,"Virtualization of Internet of Things(IoT) is a concept of dynamically building customized high-level IoT services which rely on the real time data streams from low-level physical IoT sensors. Security in IoT virtualization is challenging, because with the growing number of available (building block) services, the number of personalizable virtual services grows exponentially. This paper proposes Service Object Capability(SOC) ticket system, a decentralized access control mechanism between servers and clients to efficiently authenticate and authorize each other without using public key cryptography. SOC supports decentralized partial delegation of capabilities specified in each server/client ticket. Unlike PKI certificates, SOC's authentication time and handshake packet overhead stays constant regardless of each capability's delegation hop distance from the root delegator. The paper compares SOC's security benefifits with Kerberos and the experimental results show SOC's authentication incurs significantly less time packet overhead compared against those from other mechanisms based on RSA-PKI and ECC-PKI algorithms. SOC is as secure as, and more efficient and suitable for IoT environments, than existing PKIs and Kerberos.","internet of things security, service virtualization"
"Fan L,Gote I",A Closer Look: Evaluating Location Privacy Empirically,2021,488–499,11,9781450386647,https://doi.org/10.1145/3474717.3484219,"The breach of users' location privacy can be catastrophic. To provide users with privacy protections, numerous location privacy methods have been developed in the last two decades. While several studies surveyed existing location privacy methods, the lack of comparative, empirical evaluations imposes challenges for adopting location privacy by applications and researchers who may not be privacy experts. This study fills the gap by conducting a comparative evaluation among a range of location privacy methods with real-world datasets. To evaluate utility, we consider different types of measures, e.g., distortion and mobility metrics; to evaluate privacy protection, we design two empirical privacy risk measures via inference and re-identification attacks. Furthermore, we study the computational overheads inflicted by location privacy in CPU time and memory requirement. The results are thoroughly examined in our work and show that it is possible to strike a balance between utility and privacy when sharing location data with untrusted servers.","Real-World Data, Comparative Evaluation, Location Privacy"
"Hamad M,Hammadeh ZA,Saidi S,Prevelakis V,Ernst R",Prediction of Abnormal Temporal Behavior in Real-Time Systems,2018,359–367,8,9781450351911,https://doi.org/10.1145/3167132.3167172,"Ensuring security in real-time and safety-critical systems is becoming extremely challenging, in particular due to the increasingly connectivity of these systems, such as in emerging autonomous vehicles that are subject to new and higher number of security attacks. The main characteristics of real-time systems is that they have strict timing constraints. These constraints must be met in order to ensure the correctness of the system. In this paper, we use the temporal properties derived from the timing analysis of the system required for safety, in order to detect the misbehavior of the system and improve its corresponding security features. For this, we define temporal boundaries which are used to detect the temporal off-nominal behavior of running applications. Moreover, we present a prediction scheme which uses the designated configuration in real-time systems.","security, RTOS, real-time systems, intrusion prediction"
"Dupuis M,Ebenezer M",Help Wanted: Consumer Privacy Behavior and Smart Home Internet of Things (IoT) Devices,2018,117–122,5,9781450359542,https://doi.org/10.1145/3241815.3241869,"The infrastructure of smart home IoT devices is complex and the combination of data streams that run throughout it is convoluted. This poses a threat to consumer privacy. However, consumers fall short of adopting privacy protection measures. This study employed two qualitative and one quantitative research methodology in a mixed method research design to examine the role of privacy preferences with respect to home IoT devices. Protection Motivation Theory was used as the theoretical framework. Results suggest that individuals do care about the dangers associated with having one's privacy violated by an IoT device and are more willing to engage in protective measures if they believe they are able to understand the various mechanisms for doing so, but only if the costs are not too high. However, consumers in general have little knowledge related to the privacy issues rampant in smart home IoT devices, but do appear concerned when presented with that information directly.","interviews, survey, content analysis, security, protection motivation theory, privacy, consumer iot devices, mixed methods"
Rani PJ,Bernoulli Keyed Hash Function for Authenticating the Data over Virtual Private Network,2016,,0,9781450339629,https://doi.org/10.1145/2905055.2905132,"Hashing is used as part of IPSec protocol to ensure that the data being sent has not been tampered or corrupted over the virtual private network(VPN). This can be done using SHA1 or MD5. First 96-bits of the message digest of SHA1 or MD5 are used as an authentication field. This paper shows that the Bernoulli keyed hash function can be used to authenticate the data. Longer length message digest is more resistant to collisions. Here even after truncating the 128-bits of the message digest to extract 96-bits, the Bernoulli keyed hash function is shown be resistant to collisions and possessing strong confusion and diffusion capabilities.","keyed hash function, virtual private network, Authentication, chaotic map"
"Jagadeesan L,Mc Bride A,Gurbani VK,Yang J",Cognitive Security: Security Analytics and Autonomics for Virtualized Networks,2015,43–50,7,9781450339490,https://doi.org/10.1145/2843491.2843837,"Virtualized networks offer the potential to dynamically reconfigure themselves in real-time. Coupled with automated real-time analytics, these capabilities can be leveraged to enable such networks to automatically detect security threats in real-time, dynamically reconfigure themselves to protect against these threats, and automatically immunize themselves against evolving threats. We present an approach that combines real-time analytics with autonomics -- using anomaly detection to identify potential security threats, in combination with autonomics to enable dynamic network reconfigurations to mitigate against these threats. A key challenge is to distinguish good anomalies arising from legitimate increases in network traffic, for example due to natural disasters, flash mobs, or other unexpected events, from bad anomalies arising from potential security attacks, as the autonomic actions may widely vary: e.g., dynamic increase of network resources for increases in legitimate traffic, instantiation of virtual security functions in the face of security attacks. We present a combination of machine learning based detection with temporal logic based analysis that provides a foundation for distinguishing these anomalies and enabling dynamic network autonomics in response. We illustrate our approach through a case study on distributed denial of service attacks on SIP-based virtualized networks.","Analytics, Machine learning, Autonomics, Temporal logic, State-based analysis, Security, Virtual networks, SIP, Runtime verification"
"Bexheti A,Langheinrich M,Clinch S",Secure Personal Memory-Sharing with Co-Located People and Places,2016,73–81,8,9781450348140,https://doi.org/10.1145/2991561.2991577,"The abundance of interconnected devices in the Internet of Things (IoT) offers a powerful vision on how automated capture systems can aid humans remember their lives better. Already today, mobile and wearable devices allow people to create rich logs of their daily experiences in the form of photos, videos, GPS traces, or even physiological data. This activity is often called lifelogging, and has led to the so-called quantified self movement where people capture detailed traces of their everyday lives in order to better understand themselves. An interesting avenue to explore in this context is the possibility of capturing lifelog data for the sake of augmenting one's memory. Contemporary psychology theory suggests that captured experiences of daily events can be used to generate cues (hints) which, when reviewed, can improve subsequent long-term recall of these memories. However, limitations of on-body placement of wearable devices can yield poor quality data and restricts capture to a first-person perspective. The focus of this work is to enable the secure and automatic exchange of one's lifelog streams with both co-located peers and any available capture devices in an IoT infrastructure, in order to construct a more comprehensive representation of a previous experience, which can thus help one to create more effective cues. We present a privacy-aware architecture for this exchange and report on a proof-of-concept prototype implementation.","Co-located people, Memory augmentation, Sharing, Lifelogging, Security, Wearables, Infrastructure camera, Privacy"
"Burow N,Burrow R,Khazan R,Shrobe H,Ward BC",Moving Target Defense Considerations in Real-Time Safety- and Mission-Critical Systems,2020,81–89,8,9781450380850,https://doi.org/10.1145/3411496.3421224,"Moving-target defenses (MTDs) have been widely studied for common general-purpose and enterprise-computing applications. Indeed, such work has produced highly effective, low-overhead defenses that are now commonly deployed in many systems today. One application space that has seen comparatively little focus is that of safety- and mission-critical systems, which are often real-time systems (RTS) with temporal requirements. Furthermore, such systems are increasingly being targeted by attackers, such as in industrial control systems (ICS), including power grids. The strict timing requirements of these systems presents a different design objective than is common in general-purpose applications -- systems should be designed around the worst-case performance, rather than the average case. Perhaps in part due to these alternative design considerations, many real-time systems have not benefited from much of the work on software security that common general-purpose and enterprise applications have, despite the ubiquity of real-time systems that actively control so many applications we as a society have come to rely on, from power generation and distribution, to automotive and avionic applications, and many others.This paper explores the application of moving-target defenses in the context of real-time systems. In particular, the worst-case performance of several address-space randomization defenses are evaluated to study the implications of such designs in real-time applications. These results suggest that current moving-target defenses, while performant in the average case, can exhibit significant tail latencies, which can be problematic in real-time applications, especially if such overheads are not considered in the design and analysis of the system. These results inform future research directions for moving-target defenses in real-time applications.","security, real-time, moving-target defenses, moving target defenses, cyber"
"Jarrell M,Ghaiumy Anaraky R,Knijnenburg B,Ash E",Using Intersectional Representation & Embodied Identification in Standard Video Game Play to Reduce Societal Biases,2021,,0,9781450380966,https://doi.org/10.1145/3411764.3445161,"While virtual character embodiment has been studied as a mitigator of singular societal biases in fully immersive VR and empathy games, there have been no major studies on representation featuring standard game play or intersectional identities. In our study, participants played a short 2D video game with racial and gender character manipulations. They then rated a LinkedIn profile application to examine interactions of racial and gender biases. White male participants showed bias against black and female applicants, with the black female applicant experiencing both racial and gender bias. However, participants who embodied certain underrepresented characters in the game displayed reduced biases. Participants’ perceived identification with the characters moderated this effect. The study highlights a lack of homogeneity in the prevalence and potential reduction of different societal biases and incorporates intersectionality to illustrate how multiple parts of a player character’s identity can be used to combat biases.","representation, identification, virtual characters, racial bias, video games, gender bias, embodiment, intersectionality"
"Liu Q,Wu J,Huang Z,Wang H,Ning Y,Chen M,Chen E,Yi J,Zhou B",Federated User Modeling from Hierarchical Information,2023,,0,,https://doi.org/10.1145/3560485,"The generation of large amounts of personal data provides data centers with sufficient resources to mine idiosyncrasy from private records. User modeling has long been a fundamental task with the goal of capturing the latent characteristics of users from their behaviors. However, centralized user modeling on collected data has raised concerns about the risk of data misuse and privacy leakage. As a result, federated user modeling has come into favor, since it expects to provide secure multi-client collaboration for user modeling through federated learning. Unfortunately, to the best of our knowledge, existing federated learning methods that ignore the inconsistency among clients cannot be applied directly to practical user modeling scenarios, and moreover, they meet the following critical challenges: 1) Statistical heterogeneity. The distributions of user data in different clients are not always independently identically distributed (IID), which leads to unique clients with needful personalized information; 2) Privacy heterogeneity. User data contains both public and private information, which have different levels of privacy, indicating that we should balance different information shared and protected; 3) Model heterogeneity. The local user models trained with client records are heterogeneous, and thus require a flexible aggregation in the server; 4) Quality heterogeneity. Low-quality information from inconsistent clients poisons the reliability of user models and offsets the benefit from high-quality ones, meaning that we should augment the high-quality information during the process. To address the challenges, in this paper, we first propose a novel client-server architecture framework, namely Hierarchical Personalized Federated Learning (HPFL), with a primary goal of serving federated learning for user modeling in inconsistent clients. More specifically, the client train and deliver the local user model via the hierarchical components containing hierarchical information from privacy heterogeneity to join collaboration in federated learning. Moreover, the client updates the personalized user model with a fine-grained personalized update strategy for statistical heterogeneity. Correspondingly, the server flexibly aggregates hierarchical components from heterogeneous user models in the case of privacy and model heterogeneity with a differentiated component aggregation strategy. In order to augment high-quality information and generate high-quality user models, we expand HPFL to the Augmented-HPFL (AHPFL) framework by incorporating the augmented mechanisms, which filters out low-quality information such as noise, sparse information and redundant information. Specially, we construct two implementations of AHPFL, i.e., AHPFL-SVD and AHPFL-AE, where the augmented mechanisms follow SVD (singular value decomposition) and AE (autoencoder), respectively. Finally, we conduct extensive experiments on real-world datasets, which demonstrate the effectiveness of both HPFL and AHPFL frameworks.","Model personalization, Augmented mechanism, User modeling, Federated learning, Privacy heterogeneity"
"Van Bulck J,Noorman J,Mühlberg JT,Piessens F",Towards Availability and Real-Time Guarantees for Protected Module Architectures,2016,146–151,5,9781450340335,https://doi.org/10.1145/2892664.2892693,"Protected Module Architectures are a new brand of security architectures whose main objective is to support the secure isolated execution of software modules with a minimal Trusted Computing Base (TCB) -- several prototypes for embedded systems (and also the Intel Software Guard eXtensions for higher-end systems) ensure isolation with a hardware-only TCB. However, while these architectures offer strong confidentiality and integrity guarantees for software modules, they offer no availability (let alone real-time) guarantees. This paper reports on our work-in-progress towards extending a protected module architecture for small microprocessors with availability and real-time guarantees. Our objective is to maintain the existing security guarantees with a hardware-only TCB, but to also guarantee availability (and even real-time properties) if one can also trust the scheduler. The scheduler, as any software on the platform, remains untrusted for confidentiality and integrity -- but it is sufficient to trust the scheduler module to get availability guarantees even on a partially compromised platform.","trusted computing, Protected module architecture, mixed-criticality, real-time operating system, secure interrupt, secure scheduling"
"Singh A,Auluck N,Rana O,Jones A,Nepal S",RT-SANE: Real Time Security Aware Scheduling on the Network Edge,2017,131–140,9,9781450351492,https://doi.org/10.1145/3147213.3147216,"Edge computing extends a traditional cloud data centre model often by using a micro data centre (mdc) at the network edge for computation and storage. As these edge devices are in proximity to users, this results in improved application response times and reduces load on the cloud data center (cdc). In this paper, we propose a security and deadline aware scheduling algorithm called RT-SANE (Real-Time Security Aware scheduling on the Network Edge). Applications with stringent privacy requirements are scheduled on an mdc closer to the user, whereas others can be scheduled on a cdc or a remote mdc. We also discuss how application performance and network latency influence the choice of an mdc or cdc. The intuition is that due to a lower communication latency between the user & the mdc, more applications are able to meet their deadlines when run on the mdc. Conversely, applications with loose deadlines may be executed on a cdc. In order to facilitate this, we also propose a distributed orchestration architecture and protocol that is both performance & security aware. Simulation results show that RTSANE offers superior real-time performance compared to a number of other scheduling policies in an Edge computing environment, while meeting application privacy requirements.","iot, distributed orchestration, security., cloud data center, edge computing, micro data centers, cloudlets, internet of things, fog computing, real-time, cloud computing"
"Al-Hasnawi A,Lilien L",Pushing Data Privacy Control to the Edge in IoT Using Policy Enforcement Fog Module,2017,145–150,5,9781450351959,https://doi.org/10.1145/3147234.3148124,"Some IoT data are time-sensitive and cannot be processed in clouds, which are too far away from IoT devices. Fog computing, located as close as possible to data sources at the edge of IoT systems, deals with this problem. Some IoT data are sensitive and require privacy controls. The proposed Policy Enforcement Fog Module (PEFM), running within a single fog, operates close to data sources connected to their fog, and enforces privacy policies for all sensitive IoT data generated by these data sources. PEFM distinguishes two kinds of fog data processing. First, fog nodes process data for local IoT applications, running within the local fog. All real-time data processing must be local to satisfy real-time constraints. Second, fog nodes disseminate data to nodes beyond the local fog (including remote fogs and clouds) for remote (and non-real-time) IoT applications. PEFM has two components for these two kinds of fog data processing. First, Local Policy Enforcement Module (LPEM), performs direct privacy policy enforcement for sensitive data accessed by local IoT applications. Second, Remote Policy Enforcement Module (RPEM), sets up a mechanism for indirectly enforcing privacy policies for sensitive data sent to remote IoT applications. RPEM is based on creating and disseminating Active Data Bundles-software constructs bundling inseparably sensitive data, their privacy policies, and an execution engine able to enforce privacy policies. To prove effectiveness and efficiency of the solution, we developed a proof-of-concept scenario for a smart home IoT application. We investigate privacy threats for sensitive IoT data and show a framework for using PEFM to overcome these threats.","cloud computing, fog computing, internet of things, sensitive data, smart home, privacy, real-time processing, active data bundles"
"Balle B,Bell J,Gascón A,Nissim K",Private Summation in the Multi-Message Shuffle Model,2020,657–676,19,9781450370899,https://doi.org/10.1145/3372297.3417242,"The shuffle model of differential privacy (Erlingsson et al. SODA 2019; Cheu et al. EUROCRYPT 2019) and its close relative encode-shuffle-analyze (Bittau et al. SOSP 2017) provide a fertile middle ground between the well-known local and central models. Similarly to the local model, the shuffle model assumes an untrusted data collector who receives privatized messages from users, but in this case a secure shuffler is used to transmit messages from users to the collector in a way that hides which messages came from which user. An interesting feature of the shuffle model is that increasing the amount of messages sent by each user can lead to protocols with accuracies comparable to the ones achievable in the central model. In particular, for the problem of privately computing the sum of n bounded real values held by n different users, Cheu et al. showed that O(sqrtn ) messages per user suffice to achieve O(1) error (the optimal rate in the central model), while Balle et al. (CRYPTO 2019) recently showed that a single message per user leads to Theta(n^1/3 ) MSE (mean squared error), a rate strictly in-between what is achievable in the local and central models. This paper introduces two new protocols for summation in the shuffle model with improved accuracy and communication trade-offs. Our first contribution is a recursive construction based on the protocol from Balle et al. mentioned above, providing poly(log log n) error with O(log log n) messages per user. The second contribution is a protocol with O(1) error and O(1) messages per user based on a novel analysis of the reduction from secure summation to shuffling introduced by Ishai et al. (FOCS 2006) (the original reduction required O(log n) messages per user). We also provide a numerical evaluation showing that our protocols provide good trade-offs between privacy, accuracy and communication for realistic values of n.","differential privacy, secure summation, shuffle model, real summation"
Wang Y,Design of Automatic Russian Language Recognition System,2023,124–130,6,9781450398091,https://doi.org/10.1145/3568739.3568762,"Language recognition is also called language recognition. Its purpose is to enable the computer to automatically recognize the language type according to an input speech. Language identification is widely used in the fields of network security, authentication, multilingual information services and so on. Nowadays, the increasingly open international environment and the rapid development of the Internet have brought new challenges to language recognition. Based on the previous research results, this paper designs and implements a language recognition system based on Gaussian mixture model unified background model (GMM UBM), mainly from the feature extraction module, UBM model training module, language model training module and language recognition module.","Support Vector Machine, Gaussian Mixture Model, Uniform Background Model, Language Identification"
"Wang W,Zhao H,Zhuang H,Shah N,Padman R",DyCRS: Dynamic Interpretable Postoperative Complication Risk Scoring,2020,1839–1850,11,9781450370233,https://doi.org/10.1145/3366423.3380253,"Early identification of patients at risk for postoperative complications can facilitate timely workups and treatments and improve health outcomes. Currently, a widely-used surgical risk calculator online web system developed by the American College of Surgeons (ACS) uses patients’ static features, e.g. gender, age, to assess the risk of postoperative complications. However, the most crucial signals that reflect the actual postoperative physical conditions of patients are usually real-time dynamic signals, including the vital signs of patients (e.g., heart rate, blood pressure) collected from postoperative monitoring. In this paper, we develop a dynamic postoperative complication risk scoring framework (DyCRS) to detect the “at-risk” patients in a real-time way based on postoperative sequential vital signs and static features. DyCRS is based on adaptations of the Hidden Markov Model (HMM) that captures hidden states as well as observable states to generate a real-time, probabilistic, complication risk score. Evaluating our model using electronic health record (EHR) on elective Colectomy surgery from a major health system, we show that DyCRS significantly outperforms the state-of-the-art ACS calculator and real-time predictors with 50.16% area under precision-recall curve (AUCPRC) gain on average in terms of detection effectiveness. In terms of earliness, our DyCRS can predict 15hrs55mins earlier on average than clinician’s diagnosis with the recall of 60% and precision of 55%. Furthermore, Our DyCRS can extract interpretable patients’ stages, which are consistent with previous medical postoperative complication studies. We believe that our contributions demonstrate significant promise for developing a more accurate, robust and interpretable postoperative complication risk scoring system, which can benefit more than 50 million annual surgeries in the US by substantially lowering adverse events and healthcare costs.","Interpretability, Hidden Markov Model, Real-time risk score, Postoperative complications"
"Tan R,Krishna VB,Yau DK,Kalbarczyk Z",Integrity Attacks on Real-Time Pricing in Electric Power Grids,2015,,0,,https://doi.org/10.1145/2790298,"Modern information and communication technologies used by electric power grids are subject to cyber-security threats. This article studies the impact of integrity attacks on real-time pricing (RTP), an emerging feature of advanced power grids that can improve system efficiency. Recent studies have shown that RTP creates a closed loop formed by the mutually dependent real-time price signals and price-taking demand. Such a closed loop can be exploited by an adversary whose objective is to destabilize the pricing system. Specifically, small malicious modifications to the price signals can be iteratively amplified by the closed loop, causing highly volatile prices, fluctuating power demand, and increased system operating cost. This article adopts a control-theoretic approach to deriving the fundamental conditions of RTP stability under basic demand, supply, and RTP models that characterize the essential behaviors of consumers, suppliers, and system operators, as well as two broad classes of integrity attacks, namely, the scaling and delay attacks. We show that, under an approximated linear time-invariant formulation, the RTP system is at risk of being destabilized only if the adversary can compromise the price signals advertised to consumers, by either reducing their values in the scaling attack or providing old prices to over half of all consumers in the delay attack. The results provide useful guidelines for system operators to analyze the impact of various attack parameters on system stability so that they may take adequate measures to secure RTP systems.","smart grid, real-time pricing, stability, cyber security, electricity market, Power grid, demand response"
"Zhang L,Lu P,Kong F,Chen X,Sokolsky O,Lee I",Real-Time Attack-Recovery for Cyber-Physical Systems Using Linear-Quadratic Regulator,2021,,0,,https://doi.org/10.1145/3477010,"The increasing autonomy and connectivity in cyber-physical systems (CPS) come with new security vulnerabilities that are easily exploitable by malicious attackers to spoof a system to perform dangerous actions. While the vast majority of existing works focus on attack prevention and detection, the key question is “what to do after detecting an attack?”. This problem attracts fairly rare attention though its significance is emphasized by the need to mitigate or even eliminate attack impacts on a system. In this article, we study this attack response problem and propose novel real-time recovery for securing CPS. First, this work’s core component is a recovery control calculator using a Linear-Quadratic Regulator (LQR) with timing and safety constraints. This component can smoothly steer back a physical system under control to a target state set before a safe deadline and maintain the system state in the set once it is driven to it. We further propose an Alternating Direction Method of Multipliers (ADMM) based algorithm that can fast solve the LQR-based recovery problem. Second, supporting components for the attack recovery computation include a checkpointer, a state reconstructor, and a deadline estimator. To realize these components respectively, we propose (i) a sliding-window-based checkpointing protocol that governs sufficient trustworthy data, (ii) a state reconstruction approach that uses the checkpointed data to estimate the current system state, and (iii) a reachability-based approach to conservatively estimate a safe deadline. Finally, we implement our approach and demonstrate its effectiveness in dealing with totally 15 experimental scenarios which are designed based on 5 CPS simulators and 3 types of sensor attacks.","security, real-time, sensor attack, Cyber-physical system, linear-quadratic regulator, recovery"
"Xu L,Ji Z,Zhou XD,Shi Y",Prohibited Items Detection on X-Ray Images with Multi-Task Learning,2022,558–565,7,9781450396110,https://doi.org/10.1145/3532213.3532298,"Inspection by X-ray has a wide range of applicability in airports, subways, railway stations, bus stations, and shipping ports. However, using X-ray images during security inspections is challenging because the X-ray image containing prohibited items (positive samples) in the real-world security inspection scenario is much smaller than those that do not contain prohibited items (negative samples). This results in low detection efficiency of the auto security inspection and many false detections. Considering this problem, this paper proposes detecting and recognizing prohibited items on X-ray images in real-world security inspections based on multi-task learning (MTL). This method uses an image classification network to filter out most X-ray images that do not contain prohibited items, thus reducing false detections and improving detection efficiency. MTL simultaneously trains the image classification network and the detection network of prohibited items. In addition, the backbone of the MTL network adopts a model sharing method that can reduce model parameters and improve the convergence speed of the model. Based on a dataset of security inspection X-ray images where the ratio of negative samples to positive samples is 100 (SIXray100), we performed data augmentation, estimated the target anchor of the training set, and used the concept of multi-scale training to complete the model training. Compared with the class-balanced hierarchical refinement method (CHR) that proposed a benchmark in detection, our method shows an improvement of 2% to 5%. Moreover, as the number of test images increases, our approach will obtain results that significantly exceed those from previous research. At the same time, this paper’s strategy for detecting prohibited items and its shared neural network framework have significant application value in engineering.","X-ray images, Prohibited items detection, Real-world security inspection scenario, Multi-task learning"
"Madi T,Jarraya Y,Alimohammadifar A,Majumdar S,Wang Y,Pourzandi M,Wang L,Debbabi M",ISOTOP: Auditing Virtual Networks Isolation Across Cloud Layers in OpenStack,2018,,0,,https://doi.org/10.1145/3267339,"Multi-tenancy in the cloud is a double-edged sword. While it enables cost-effective resource sharing, it increases security risks for the hosted applications. Indeed, multiplexing virtual resources belonging to different tenants on the same physical substrate may lead to critical security concerns such as cross-tenants data leakage and denial of service. Particularly, virtual networks isolation failures are among the foremost security concerns in the cloud. To remedy these, automated tools are needed to verify security mechanisms compliance with relevant security policies and standards. However, auditing virtual networks isolation is challenging due to the dynamic and layered nature of the cloud. Particularly, inconsistencies in network isolation mechanisms across cloud-stack layers, namely, the infrastructure management and the implementation layers, may lead to virtual networks isolation breaches that are undetectable at a single layer. In this article, we propose an offline automated framework for auditing consistent isolation between virtual networks in OpenStack-managed cloud spanning over overlay and layer 2 by considering both cloud layers’ views. To capture the semantics of the audited data and its relation to consistent isolation requirement, we devise a multi-layered model for data related to each cloud-stack layer’s view. Furthermore, we integrate our auditing system into OpenStack, and present our experimental results on assessing several properties related to virtual network isolation and consistency. Our results show that our approach can be successfully used to detect virtual network isolation breaches for large OpenStack-based data centers in reasonable time.","security, network isolation, Cloud, consistency, compliance verification, virtual infrastructure, openStack"
"Tan CH,Sutanto J,Tan BC",Empirical Investigation on Relational Social Capital in a Virtual Community for Website Programming,2015,43–60,17,,https://doi.org/10.1145/2795618.2795622,"A virtual community of interest has a specific and narrow topic of discussion. Therefore, these communities attract registered members who are focused on knowledge sharing. The current research examines whether network ties, which are an aspect of structural social capital that can be categorized into strong and weak social ties, can provide a non-trivial explanation for members? trust, reciprocity, and identification in a virtual community for website programming interest. This relationship enables us to examine a context in which members share a common goal of resolving programming problems through knowledge sharing in contrast with other community settings where only general topics are discussed (e.g., societal and emotional issues). Data were collected through a survey of a virtual community for website programming composed of 69 members. Affirming conventional perception, results of the study indicate that weak ties affect the level of generalized trust and facilitate group identification. Remarkably, the number of members? strong ties is not significantly related to the degree of their perceived norms regarding generalized reciprocity. Reciprocity refers to a mutual expectation that a benefit granted at present should be repaid in the future. The results suggest two key points. First, even for a virtual community of interest, weak ties overshadow strong ties in explaining the outcome variables. Second, reciprocity is not guaranteed even in a focused form of discussion with a non-social topic that involves specialized knowledge. Therefore, virtual community members should be cautious even if ties are strong. Overall, results imply that virtual community administrators, particularly those who manage specialized communities, should be attentive to the strong and weak ties that exist among the community members.","identification, social ties, virtual community, reciprocity, trust"
"Xu X,Fu Y,Wu J,Wang Y,Huang Z,Fu Z,Yin M",Adaptive Weighted Finite Mixture Model: Identifying the Feature-Influence of Real Estate,2020,,0,,https://doi.org/10.1145/3379560,"It is significant for real estate investors to understand how the construction environments and building characteristics impact the housing unit price. However, it is challenging for identifying the complex feature-influence from construction environments and building characteristics. It is also hard to alleviate the heterogeneity of real estate. In this article, we propose a framework named Adaptive Weighted Finite Mixture Model to identify the feature-influence and simultaneously alleviate the ill effect of heterogeneity. Applying this framework, we can predict the housing unit price based on the corresponding features. Besides, we discover that the feature-influence exists in the dissimilarity among similar cities. Specifically, we adaptively learn the weights of features to identify the feature-influence, and we model the estimation of the housing unit price with the feature-influence into a finite mixture model. We utilize the Principle Component Analysis algorithm to obtain a low-dimensional representation of housing features. The low-dimensional representation reduces the computational cost of model learning, and it avoids a potential catastrophe of the singular matrix inversion during the process of learning model parameters, which are estimated by the Expectation Maximization algorithm. To avoid the blind search for the latent group number used in the proposed framework, we employ the pre-clustering result as a guide of the searching range of the latent group numbers. We conduct numerous experiments on three real datasets from Shenyang, Changchun, and Harbin, which are the three provincial capital cities that have similar geography, economics, and cultures. The experimental results demonstrate the effectiveness of the proposed framework.","finite mixture model, expectation maximization algorithm, Real estate, identify feature influence"
"Rashid H,Batra N,Singh P",Rimor: Towards Identifying Anomalous Appliances in Buildings,2018,33–42,9,9781450359511,https://doi.org/10.1145/3276774.3276797,"Buildings across the world contribute about one-third of the total energy consumption. Studies report that anomalies in energy consumption caused by faults and abnormal appliance usage waste up to 20% of energy in buildings. Recent works leverage smart meter data to find such anomalies; however, such works do not identify the appliance causing the anomaly. Moreover, most of these works are not real-time and report the anomaly at the end of the day. In this paper, we propose a technique named Rimor that addresses these limitations. Rimor predicts the energy consumption of a home using historical energy data and contextual information and flags an anomaly when the actual energy consumption deviates significantly from the predicted consumption. Further, it identifies anomalous appliance(s) by using easy-to-collect appliance power ratings. We evaluated it on four real-world energy datasets containing 51 homes and found it to be 15% more accurate in detecting anomalies as compared to four other baseline approaches. Rimor reports an appliance identification accuracy of 82%. In addition, we also release an anomaly annotated energy dataset for the research community.","smart buildings, smart meter, real-time anomaly detection, anomalous appliance identification"
"Prange S,Mecke L,Stadler M,Balluff M,Khamis M,Alt F",Securing Personal Items in Public Space: Stories of Attacks and Threats,2019,,0,9781450376242,https://doi.org/10.1145/3365610.3365628,"While we put great effort in protecting digital devices and data, there is a lack of research on usable techniques to secure personal items that we carry in public space. To better understand situations where ubiquitous technologies could help secure personal items, we conducted an online survey (N=101) in which we collected real-world stories from users reporting on personal items, either at risk of, or actually being lost, damaged or stolen. We found that the majority of cases occurred in (semi-)public spaces during afternoon and evening times, when users left their items. From these results, we derived a model of incidents involving personal items in public space as well as a set of properties to describe situations where personal items may be at risk. We discuss reoccurring properties of the scenarios, potential multimedia-based protection mechanisms for securing personal items in public space as well as future research suggestions.","online survey, real world stories, everyday life, public space, personal items, usable security"
