Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Index Keywords,Funding Details,Language of Original Document,Document Type,Publication Stage,Open Access,Source,EID
"Veiga F.J.M., de Andrade A.M.V.","57218387061;57224643653;","Critical Success Factors in Accepting Technology in the Classroom",2021,"International Journal of Emerging Technologies in Learning","16","18",,"4","22",,7,"10.3991/ijet.v16i18.23159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115621315&doi=10.3991%2fijet.v16i18.23159&partnerID=40&md5=013a7280119e590a2c420fb6c86c55df","The adoption of technology on the individual and organizational level may be a necessary condition, but it is not sufficient for the digital transformation, seen as the mobilizing challenge to do something new and different. Without a strategic vision, we take the risk of acquiring resources to do the same as before, essentially changing the format. This inability imprisons the school to inconsequential models, resources and strategies. Interdisciplinary, social and project-based learning that the most advanced technology provides can be adopted. Augmented and virtual reality, the internet of things, robots, artificial intelligence and digital assistants can bring innovation to teaching. But also mobiles, games, simulators and multimedia can inspire collaborative creativity. On the other hand, the pandemic, in terms of the adoption of technology, constitutes a kind of insurrection against the fatalism that it is not possible to restart the system, that is, rethink the school. This study aims at investigating the degree of acceptance, materialized in the use of technology, by teachers of primary and secondary education, in the context of the classroom. As a methodological support to this study, the model “Unified Theory of Acceptance and Use of Technology” (UTAUT)) was used and a questionnaire applied to teachers at our school, obtaining 90 responses. The analysis of the responses reveals that the expected adoption of information technologies currently has a global performance, which becomes the most significant positive influence on the motivation and involvement of teachers. That is, the availability of technology, the speed of access, the applications suited to the curriculum and to the pedagogical approach are, more and more, a harmonious set that is compatible with its mission. The study also clarifies that teachers intend to use ICT as they see in them a different didactic tool that allows different approaches, thus increasing, in general, the quality of teaching and learning. © 2021. All Rights Reserved.","Engineering education; Intelligent robots; Teaching; Virtual reality; Individual levels; Success factors; Teacher behavior; Teachers'; Technology; Technology acceptance; Technology acceptance and use (unified theory of acceptance and use of technology”); Technology in the classroom; Technology use; The unified theory of acceptance and use of technology(UTAUT); Curricula",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85115621315
"Zhuang Y.","57218292294;","Optimization of the Personalized Service System of University Library Based on Internet of Things Technology",2021,"Wireless Communications and Mobile Computing","2021",,"5589505","","",,5,"10.1155/2021/5589505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107162164&doi=10.1155%2f2021%2f5589505&partnerID=40&md5=9e7ccedff1f1f59c55af5e8bc3f0aa3a","In library applications, radio frequency indentification (RFID) technology, sensors, and wireless transmission networks have been applied to various services such as self-service checkout and return systems, electronic reader cards, intelligent bookshelves, intelligent monitoring of library premises, augmented reality (AR) interactive picture books, physical corridors, and seat reservations; in regional library alliances, real crossregional and cross-system alliance cooperation through IoT technology is also becoming increasingly important. Continuous information resource sharing is an important means to maximize the effectiveness of library information resources and meet the information needs of various users. The development of IoT technology opens new ideas and methods for information resource sharing in regional library alliances, effectively expanding the scope of information resource sharing and improving the efficiency of information resource sharing. This paper briefly presents the relationship, architecture, and key technologies of IoT technology and the definition, characteristics, and types of regional library consortium and content. Analysis of the characteristics and principles of regional library consortium information resource sharing is in the context of IoT and the corresponding studies on information sharing between regional library consortia at home and abroad. We also propose strategies to establish a specialized agency for information resource sharing, establish a sound investment mechanism for information resource sharing, ensure the security of information resource sharing of the regional library consortium, and increase the publicity and training capacity of information resource sharing of the regional library consortium. © 2021 Yi Zhuang.","Augmented reality; Digital libraries; Internet of things; Radio transmission; Security of data; Technology transfer; Information resource; Information sharing; Intelligent monitoring; Internet of things technologies; Personalized service; Regional library alliances; University libraries; Wireless transmissions; Information dissemination",,"English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85107162164
"Wang Y., Zhang D., Wei S.","57223840806;57223831588;57223793995;","Effect of Nursing Intervention in the Operating Room Based on Simple Virtual Reality Augmented Technology on Preventing Gastrointestinal Surgical Incision Infection",2021,"Journal of Healthcare Engineering","2021",,"9981821","","",,3,"10.1155/2021/9981821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106153316&doi=10.1155%2f2021%2f9981821&partnerID=40&md5=93ceef1fe0364050cb393d5df8db8f85","Gastrointestinal surgery is currently a common gastrointestinal surgery in clinical practice. In recent years, the incidence of gastrointestinal diseases has gradually increased and increased as the lifestyle of modern people has developed and changed. Both physical health and quality of life have a serious impact. In the actual process, it was found that multiple links in operating room care may increase the risk of postoperative infections for patients. Therefore, this article proposes nursing in operating room based on simple virtual reality augmented technology. This article mainly studies the effect of nursing intervention on preventing gastrointestinal surgical incision infection, and hopes to provide help for preventing gastrointestinal surgical incision infection. In this trial, 80 patients with gastrointestinal surgery were randomly divided into two groups, each with 40 people. The experimental group was treated with an operating room nursing intervention combined with traditional treatment methods. Controls were treated with traditional nursing combined with traditional treatment, and both groups were analyzed for acceptance of nursing intervention in the operating room, poor mood, various indicator levels, postoperative complications, and postoperative incisional infections. The experiment proved that the postoperative rehabilitation indexes of the experimental group were better than those of the control group, the excellent rate of wound healing reached 92.5%, and the incidence of wound infection was only 5%, which was lower than that of the control group. This demonstrates that nursing intervention in the operating room can help to reduce the infection rate at the patient's incision site, increase the level of surgical indicators, promote healing of the incision site as quickly as possible, and significantly improve the safety of clinical treatment. © 2021 Yanhua Wang et al.","Nursing; Operating rooms; Surgery; Tissue regeneration; Clinical practices; Clinical treatments; Experimental groups; Gastrointestinal Disease; Nursing interventions; Postoperative complications; Postoperative rehabilitations; Treatment methods; Virtual reality; adult; anxiety; Article; augmented reality; bloating; controlled study; depression; diarrhea; fear; female; gastrointestinal surgery; human; hyperglycemia; hypoglycemia; incidence; incision; infection prevention; major clinical study; male; middle aged; nursing intervention; patient worry; postoperative care; postoperative vomiting; quality of life; randomized controlled trial; rehabilitation care; surgical infection; tension; virtual reality; wound healing; complication; operating room; surgical infection; surgical wound; technology; Humans; Operating Rooms; Quality of Life; Surgical Wound; Surgical Wound Infection; Technology; Virtual Reality",,"English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85106153316
"Li Y., Cheng Y., Meng W., Li Y., Deng R.H.","57192521667;55734767200;56062319900;8365610600;57203710994;","Designing Leakage-Resilient Password Entry on Head-Mounted Smart Wearable Glass Devices",2021,"IEEE Transactions on Information Forensics and Security","16",,"9153060","307","321",,13,"10.1109/TIFS.2020.3013212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089295750&doi=10.1109%2fTIFS.2020.3013212&partnerID=40&md5=a58f58703247eab31d959a8df9ea7588","With the boom of Augmented Reality (AR) and Virtual Reality (VR) applications, head-mounted smart wearable glass devices are becoming popular to help users access various services like E-mail freely. However, most existing password entry schemes on smart glasses rely on additional computers or mobile devices connected to smart glasses, which require users to switch between different systems and devices. This may greatly lower the practicability and usability of smart glasses. In this paper, we focus on this challenge and design three practical anti-eavesdropping password entry schemes on stand-alone smart glasses, named gTapper, gRotator and gTalker. The main idea is to break the correlation between the underlying password and the interaction observable to adversaries. In our IRB-approved user study, these schemes are found to be easy-to-use without additional hardware under various test conditions, where the participants can enter their passwords within moderate time, at high accuracy, and in various situations. © 2005-2012 IEEE.","Augmented reality; Authentication; Virtual reality; Wearable computers; Glass devices; High-accuracy; Smart glass; Smart wearables; Stand -alone; Test condition; User study; Users access; Glass","61802289, 830929; ","English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85089295750
"McGill M., Williamson J., Ng A., Pollick F., Brewster S.","35213728600;39062233100;55841483000;7004147308;7006514160;","Challenges in passenger use of mixed reality headsets in cars and other transportation",2020,"Virtual Reality","24","4",,"583","603",,20,"10.1007/s10055-019-00420-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077029674&doi=10.1007%2fs10055-019-00420-x&partnerID=40&md5=82c5b92033412cb48470565bd652a652","This paper examines key challenges in supporting passenger use of augmented and virtual reality headsets in transit. These headsets will allow passengers to break free from the restraints of physical displays placed in constrained environments such as cars, trains and planes. Moreover, they have the potential to allow passengers to make better use of their time by making travel more productive and enjoyable, supporting both privacy and immersion. However, there are significant barriers to headset usage by passengers in transit contexts. These barriers range from impediments that would entirely prevent safe usage and function (e.g. motion sickness) to those that might impair their adoption (e.g. social acceptability). We identify the key challenges that need to be overcome and discuss the necessary resolutions and research required to facilitate adoption and realize the potential advantages of using mixed reality headsets in transit. © 2019, The Author(s).","Augmented reality; Transportation; Virtual reality; Augmented and virtual realities; Motion sickness; Passenger; Social acceptability; Travel; Mixed reality","835197; 303740; 77563/1; ","English",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85077029674
"Liu Y., Liu Y., Xu S., Cheng K., Masuko S., Tanaka J.","57218311654;57218311577;57210152285;57195592672;55876715000;35103690300;","Comparing vr-and ar-based try-on systems using personalized avatars",2020,"Electronics (Switzerland)","9","11","1814","1","25",,10,"10.3390/electronics9111814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094929317&doi=10.3390%2felectronics9111814&partnerID=40&md5=fecc6d5fdd758d520564e3f052a03a79","Despite the convenience offered by e-commerce, online apparel shopping presents various product-related risks, as consumers can neither physically see nor try products on themselves. Augmented reality (AR) and virtual reality (VR) technologies have been used to improve the shopping online experience. Therefore, we propose an AR-and VR-based try-on system that provides users a novel shopping experience where they can view garments fitted onto their personalized virtual body. Recorded personalized motions are used to allow users to dynamically interact with their dressed virtual body in AR. We conducted two user studies to compare the different roles of VR-and AR-based try-ons and validate the impact of personalized motions on the virtual try-on experience. In the first user study, the mobile application with the AR-and VR-based try-on is compared to a traditional e-commerce interface. In the second user study, personalized avatars with pre-defined motion and personalized motion is compared to a personalized no-motion avatar with AR-based try-on. The result shows that AR-and VR-based try-ons can positively influence the shopping experience, compared with the traditional e-commerce interface. Overall, AR-based try-on provides a better and more realistic garment visualization than VR-based try-on. In addition, we found that personalized motions do not directly affect the user’s shopping experience. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",,,"English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85094929317
"Malik A., Hiekkanen K., Hussain Z., Hamari J., Johri A.","56452232200;37017103300;23567987300;35361989600;25655003800;","How players across gender and age experience Pokémon Go?",2020,"Universal Access in the Information Society","19","4",,"799","812",,7,"10.1007/s10209-019-00694-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074590042&doi=10.1007%2fs10209-019-00694-7&partnerID=40&md5=a2fff4901b5127fb1bba0e4160bf59e6","The purpose of this study is to provide insights into player experiences and motivations in Pokémon Go, a relatively new phenomenon of location-based augmented reality games. With the increasing usage and adoption of various forms of digital games worldwide, investigating the motivations for playing games has become crucial not only for researchers but for game developers, designers, and policy makers. Using an online survey (N = 1190), the study explores the motivational, usage, and privacy concerns variations among age and gender groups of Pokémon Go players. Most of the players, who are likely to be casual gamers, are persuaded toward the game due to nostalgic association and word of mouth. Females play Pokémon Go to fulfill physical exploration and enjoyment gratifications. On the other hand, males seek to accomplish social interactivity, achievement, coolness, and nostalgia gratifications. Compared to females, males are more concerned about the privacy aspects associated with the game. With regard to age, younger players display strong connotation with most of the studied gratifications and the intensity drops significantly with an increase in age. With the increasing use of online and mobile games worldwide among all cohorts of society, the study sets the way for a deeper analysis of motivation factors with respect to age and gender. Understanding motivations for play can provide researchers with the analytic tools to gain insight into the preferences for and effects of game play for different kinds of users. © 2019, The Author(s).","Augmented reality; Software design; Virtual reality; Free to plays; Freemium; Location based games; On-line games; Uses and gratifications; Motivation","40009/16, 5654/31/2018; 142444; 1424444, 1707837; ","English",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85074590042
"Zhani M.F., ElBakoury H.","24484310400;55359434900;","FlexNGIA: A Flexible Internet Architecture for the Next-Generation Tactile Internet",2020,"Journal of Network and Systems Management","28","4",,"751","795",,19,"10.1007/s10922-020-09525-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082826900&doi=10.1007%2fs10922-020-09525-0&partnerID=40&md5=bc1695798fd82df1fff266fcc0f4a1aa","From virtual reality and telepresence, to augmented reality, holoportation, and remotely controlled robotics, these future network applications promise an unprecedented development for society, economics and culture by revolutionizing the way we live, learn, work and play. In order to deploy such futuristic applications and to cater to their performance requirements, recent trends stressed the need for the “Tactile Internet”, an Internet that, according to the International Telecommunication Union (ITU), combines ultra low latency with extremely high availability, reliability and security (ITU-T Technology Watch Report. The Tactile Internet, 2014). Unfortunately, today’s Internet falls short when it comes to providing such stringent requirements due to several fundamental limitations in the design of the current network architecture and communication protocols. This brings the need to rethink the network architecture and protocols, and efficiently harness recent technological advances in terms of virtualization and network softwarization to design the Tactile Internet of the future. In this paper, we start by analyzing the characteristics and requirements of future networking applications. We then highlight the limitations of the traditional network architecture and protocols and their inability to cater to these requirements. Afterward, we put forward a novel network architecture adapted to the Tactile Internet called FlexNGIA, a Flexible Next-Generation Internet Architecture. We then describe some use-cases where we discuss the potential mechanisms and control loops that could be offered by FlexNGIA in order to ensure the required performance and reliability guarantees for future applications. Finally, we identify the key research challenges to further develop FlexNGIA towards a full-fledged architecture for the future Tactile Internet. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","Augmented reality; Network function virtualization; Next generation networks; Software defined networking; Virtual reality; Visual communication; High-precision; In networks; Low latency; Next generation Internet; Transport protocols; Internet protocols",,"English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85082826900
"Wunder L., Gomez N.A.G., Gonzalez J.E., Mitzova-Vladinov G., Cacchione M., Mato J., Foronda C.L., Groom J.A.","56438024700;57217082597;57108558900;56560155100;36622831000;57219709222;24381480800;12142837200;","Fire in the operating room: Use of mixed reality simulation with nurse anesthesia students",2020,"Informatics","7","4","7040040","","",,4,"10.3390/INFORMATICS7040040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094923423&doi=10.3390%2fINFORMATICS7040040&partnerID=40&md5=ef2c44c7d3a0e1e73d1c3081073e8d61","Background: The occurrence of a fire when implementing anesthesia is a high-risk, low-frequency event. The operating room is a high-stakes environment that has no room for error. Mixed reality simulation may be a solution to better prepare healthcare professionals. The purpose of this quantitative, descriptive study was to evaluate the technical and non-technical skills of student registered nurse anesthetists (SRNAs) who participated in a mixed reality simulation of an operating room fire. Methods: Magic Leap OneTM augmented reality headsets were used by 32 student registered nurse anesthetists to simulate an emergent fire during a simulated tracheostomy procedure. Both technical and non-technical skills were evaluated by faculty members utilizing a checklist. Results: The SRNAs' overall mean technical skill performance was 18.161.44 out of a maximum score of 20, and the mean non-technical skill performance was 91.25% out of 100%. Conclusions: This study demonstrated the utility and limitations in applying novel technology in simulation. Participants demonstrated a strong performance of technical and non-technical skills in the management of a simulated operating room fire. Recommendations for future applications include the use of multiple sensory inputs into the scenario design and including all core team members in the immersive mixed reality environment. © 2020 MDPI Multidisciplinary Digital Publishing Institute. All rights reserved.",,,"English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85094923423
"Sepasgozar S.M.E.","55924332100;","Digital twin and web-based virtual gaming technologies for online education: A case of construction management and engineering",2020,"Applied Sciences (Switzerland)","10","13","4678","","",,78,"10.3390/app10134678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087914094&doi=10.3390%2fapp10134678&partnerID=40&md5=1e21c318dbba588644855a8466362308","Mixed reality is advancing exponentially in some innovative industries, includingmanufacturing and aerospace. However, advanced applications of these technologies in architecture, engineering, and construction (AEC) businesses remain nascent. While it is in demand, the use of these technologies in developing the AEC digital pedagogy and for improving professional competence have received little attention. This paper presents a set of five novel digital technologies utilising virtual and augmented reality and digital twin, which adds value to the literature by showing their usefulness in the delivery of construction courses. The project involved designing, developing, and implementing a construction augmented reality (AR), including Piling AR (PAR) and a virtual tunnel boring machine (VTBM) module. The PAR is a smartphone module that presents different elements of a building structure, the footing system, and required equipment for footing construction. VTBM is developed as a multiplayer and avatar-included module for experiencing mechanisms of a tunnel boring machine. The novelty of this project is that it developed innovative immersive construction modules, practices of implementing digital pedagogy, and presenting the capacity of virtual technologies for education. This paper is also highly valuable to educators since it shows how a set of simple to complex technologies can be used for teaching various courses from a distance, either in emergencies such as corona virus disease (COVID-19) or as a part of regular teaching. This paper is a step forward to designing future practices full of virtual education appropriate to the new generation of digitally savvy students. © 2020 by the author.",,"SEIF 2018-2019; ","English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85087914094
"Laciok V., Bernatik A., Lesnak M.","57190938937;13205532400;6506784452;","Experimental implementation of new technology into the area of teaching occupational safety for industry 4.0",2020,"International Journal of Safety and Security Engineering","10","3",,"403","407",,9,"10.18280/ijsse.100313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088272732&doi=10.18280%2fijsse.100313&partnerID=40&md5=55ab972629c399d6b2a48ee797f1624f","The use of new technologies (additive technology, collaborative robotics, virtual or augmented reality) in teaching and preparing for it gives the teacher many different ways to activate students to learn. Therefore, this article focuses on the options for using virtual reality in the field of occupational safety. A work injury scenario was created in the XVR software environment. It was aimed at students studying Occupational and Process Safety at the Faculty of Safety Engineering (FSE), VSB-Technical University of Ostrava. In the future, they will be professionally qualified in risk prevention (Health, Safety, Environment Professional, HSE). The aim was to train students in: an employer's obligations during a work injury, the HSE Professional's job during a work injury, cooperating with the emergency services and the Czech Police. © 2020 WITPress. All rights reserved.","Accident prevention; Additives; Augmented reality; Emergency services; Engineering education; Health risks; Industry 4.0; Students; Additive technology; Occupational safety; Ostrava; Process safety; Risk prevention; Software environments; Technical universities; Occupational risks; experimental study; innovation; occupation; risk assessment; software; student; teaching; technological development; virtual reality; Czech Republic; Moravskoslezsky; Ostrava",,"English",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85088272732
"Liu Z., Wang X., Cai Y., Xu W., Liu Q., Zhou Z., Pham D.T.","57202399533;57214220881;57214225701;57221159460;55577742400;55538054700;7203009688;","Dynamic risk assessment and active response strategy for industrial human-robot collaboration",2020,"Computers and Industrial Engineering","141",,"106302","","",,28,"10.1016/j.cie.2020.106302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078452968&doi=10.1016%2fj.cie.2020.106302&partnerID=40&md5=d29fd256c7c66ea3a855ac356475e02b","To enhance flexibility and sustainability, human-robot collaboration is becoming a major feature of next-generation robots. The safety assessment strategy is the first and crucial issue that needs to be considered due to the removal of the safety barrier. This paper determined the set of safety indicators and established an assessment model based on the latest safety-related ISO standards and manufacturing conditions. A dynamic modified SSM (speed and separation monitoring) method is presented for ensuring the safety of human-robot collaboration while maintaining productivity as high as possible. A prototype system including dynamic risk assessment and safe motion control is developed based on the virtual model of the robot and human skeleton point data from the vision sensor. The real-time risk status of the working robot can be known and the risk field around the robot which is visualized in an augmented reality environment so as to ensure safe human-robot collaboration. This system is experimentally validated on a human-robot collaboration cell using an industrial robot with six degrees of freedom. © 2020 Elsevier Ltd","Augmented reality; Degrees of freedom (mechanics); ISO Standards; Risk assessment; Safety engineering; Sustainable development; Virtual reality; Visual servoing; Dynamic risk assessments; Human-robot collaboration; Manufacturing conditions; Next generation robots; Response strategies; Risk visualization; Safety assessments; Six degrees of freedom; Robots","EP/N018524/1; 51675389, 51775399","English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85078452968
"Wazir W., Khattak H.A., Almogren A., Khan M.A., Ud Din I.","57214084042;57208818911;8970033500;57188818515;55428202900;","Doodle-Based Authentication Technique Using Augmented Reality",2020,"IEEE Access","8",,"8947984","4022","4034",,12,"10.1109/ACCESS.2019.2963543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078202399&doi=10.1109%2fACCESS.2019.2963543&partnerID=40&md5=7cf0f296e0d3e2ca00c9da6ae1a0b892","The emergence of augmented reality (AR) and virtual reality (VR) has revolutionized the trends in computing devices and modern technologies drastically. With this revolution, there is a need to extend existing architectures of security to serve as the key protective feature in all computing devices. In this experimental study, the aim is to develop a novel authentication technique with a fusion of graphical doodle password approach and AR environments. The mash-up of both doodle passwords and AR in a 3D space gives a promising direction to set off to a modern, more usable, and satisfying authentication techniques. The proposed approach works on real-time size and coordinate matching of doodles in an AR environment for the authentication of users. The creation of doodle passwords in an AR space is carried on by touch-gesture-recognition on a smartphone. The usability and usefulness of the proposed technique is evaluated by conducting an extensive survey, based on tasks and user experience assessments. The randomized-post-test-only study model is used to conduct experimentation that is also followed by the analysis of security parameters with the help of confusion matrix. The obtained results predict the use of AR during the authentication process more satisfying for users, where the proposed technique is useful, usable, and secure in comparison to the existing authentication approaches. This paper also highlights the importance of research needed for the utilization of modern techniques during the creation of security frameworks. © 2013 IEEE.","Augmented reality; Gesture recognition; Network security; Virtual reality; Authentication techniques; Coordinate matching; Existing architectures; Modern technologies; password; Security frameworks; Usable security; User experience assessments; Authentication","","English",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85078202399
"Ottogalli K., Rosquete D., Amundarain A., Aguinaga I., Borro D.","57204824180;57204824331;6507321406;18433619200;6507510737;","Flexible framework to model industry 4.0 processes for virtual simulators",2019,"Applied Sciences (Switzerland)","9","23","4983","","",,20,"10.3390/app9234983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076497693&doi=10.3390%2fapp9234983&partnerID=40&md5=f155424920f57e459cfe8a1de9751629","Virtual reality (VR)- and augmented reality (AR)-based simulations are key technologies in Industry 4.0 which allow for testing and studying of new processes before their deployment. A simulator of industrial processes needs a flexible way in which to model the activities performed by the worker and other elements involved, such as robots and machinery. This work proposes a framework to model industrial processes for VR and AR simulators. The desk method was used to review previous research and extract the most important features of current approaches. Novel features include interaction among human workers and a variety of automation systems, such as collaborative robots, a broader set of tasks (including assembly and disassembly of components), flexibility of modeling industrial processes for different domains and purposes, a clear separation of process definition and simulator, and independence of specific programming languages or technologies. Three industrial scenarios modeled with this framework are presented: an aircraft assembly scenario, a guidance tool for high-voltage cell security, and an application for the training of machine-tool usage. © 2019 by the authors.",,"737881; ","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85076497693
"Singla S., Aswath S., Bhatt V.K., Sharma B.K., Pal V.K.","57210291644;57210288660;57209512115;57207889762;57209503585;","Virtual reality in non-communicable diseases",2019,"International Journal of Innovative Technology and Exploring Engineering","9","1",,"1325","1333",,,"10.35940/ijitee.L3709.119119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075118566&doi=10.35940%2fijitee.L3709.119119&partnerID=40&md5=76ef4765ee81135fbdcbf6779c3ccd7d","Virtual Reality (VR) is often associated with the gaming business, the advancement isn't just about gaming. Increased reality has been around for quite a while now and there have been new VR applications in different fields. It is ordinary that in excess of 500 million VR headsets will be sold always 2025 and the entire VR development would be worth over $30 billion consistently 2020. This gigantic advancement can't be solely from the gaming business, anyway, accounts from various industry zones which are viably using this impacting development. Virtual reality is utilized more in health care such as for learning skills, treatments, and robotic surgery. It is utilized with other medical tests like that of x-rays, scans to reduce the risk of surgery and understand the medical condition of the patient. A head-mounted device, both contracted HMD, is a presentation gadget, worn on the head or as a component of a protective cap, that has a little showcase optic before one or each eye. An HMD has numerous utilizations, incorporating into gaming, aeronautics, designing, and prescription lift. A head-mounted showcase is the essential part of computer-generated reality headsets. There is likewise an optical head-mounted presentation, which is a wearable showcase that can reflect anticipated pictures and enables a client to see through it. Human services are one such industry in which there are various utilizations of VR and the potential is open-finished. Medicinal experts and researchers have been at the planning phase creating and actualizing VR applications for quite a while now and have concocted of the most exceptional utilizations of VR in human services. Today, human services associations need to see how VR is changing social insurance and join best practices in their everyday tasks. Non-communicable disease (NCD) which are leading cause of death worldwide such as Diabetes, Cardiovascular disease, Alzheimer. Virtual reality is found to play a vital role in the NCD treatment. Recently, NHS England diabetes group has joined forces with Oxford Medical Simulation to prepare specialists utilizing computer generated reality. Specialists would now be able to rehearse in augmented reality restorative crises, to improve care for patients with diabetes. © 2019, Blue Eyes Intelligence Engineering and Sciences Publication. All rights reserved.",,,"English",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85075118566
"Damala A., Ruthven I., Hornecker E.","17434088200;6603708900;13006172500;","The MUSETECH model: A comprehensive evaluation framework for museum technology",2019,"Journal on Computing and Cultural Heritage","12","1","7","","",,20,"10.1145/3297717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062335863&doi=10.1145%2f3297717&partnerID=40&md5=fb1c27fa75bdd333ad98b5a2dcadb20f","Digital technologies are being introduced in museums and other informal learning environments alongside more traditional interpretive and communication media. An increasing number of studies has proved the potential of digitally mediated cultural heritage experiences. However, there is still a lot of controversy as to the advantages and disadvantages of introducing the digital into museum settings, primarily related to the risks and investment in terms of time and human and financial resources required. This work introduces the MUSETECH model, a comprehensive framework for evaluating museum technology before and after its introduction into a museum setting. One of the unique features of our framework is to consider the evaluation of digital technologies from three different perspectives: the cultural heritage professional, cultural heritage institution, and museum visitor. The framework benefited from an extensive review of the current state of the art and from inputs from cultural heritage professionals, designers, and engineers. MUSETECH can be used as a tool for reflection before, during, and after introducing novel digital media resources. The model covers technologies as diverse as mobile museum guides, Augmented and Virtual Reality applications, hands-on museum interactives, edutainment applications, digitally mediated tangible and embodied experiences, or online approaches used for museum education and learning. © 2019 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Digital storage; Museums; User interfaces; Virtual reality; Cultural heritages; Digital heritage; Evaluation; Interaction design; Interactivity; Usability; User experience; Computer aided instruction","600851-meSch; 600851; ","English",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85062335863
"Shi Q., Lee C.","57188996217;13806509700;","Self-Powered Bio-Inspired Spider-Net-Coding Interface Using Single-Electrode Triboelectric Nanogenerator",2019,"Advanced Science","6","15","1900617","","",,101,"10.1002/advs.201900617","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066464311&doi=10.1002%2fadvs.201900617&partnerID=40&md5=ca4f16c22a1ad553a5a7252d6d4861cf","Human–machine interfaces are essential components between various human and machine interactions such as entertainment, robotics control, smart home, virtual/augmented reality, etc. Recently, various triboelectric-based interfaces have been developed toward flexible wearable and battery-less applications. However, most of them exhibit complicated structures and a large number of electrodes for multidirectional control. Herein, a bio-inspired spider-net-coding (BISNC) interface with great flexibility, scalability, and single-electrode output is proposed, through connecting information-coding electrodes into a single triboelectric electrode. Two types of coding designs are investigated, i.e., information coding by large/small electrode width (L/S coding) and information coding with/without electrode at a predefined position (0/1 coding). The BISNC interface shows high scalability with a single electrode for detection and/or control of multiple directions, by detecting different output signal patterns. In addition, it also has excellent reliability and robustness in actual usage scenarios, since recognition of signal patterns is in regardless of absolute amplitude and thereby not affected by sliding speed/force, humidity, etc. Based on the spider-net-coding concept, single-electrode interfaces for multidirectional 3D control, security code systems, and flexible wearable electronics are successfully developed, indicating the great potentials of this technology in diversified applications such as human–machine interaction, virtual/augmented reality, security, robotics, Internet of Things, etc. © 2019 The Authors. Published by WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim","Automation; Electrodes; Flexible electronics; Human robot interaction; Humidity control; Machine components; Nanogenerators; Nanotechnology; Pattern recognition systems; Robotics; Scalability; Triboelectricity; Virtual reality; Wearable technology; Complicated structures; High scalabilities; Information coding; Machine interfaces; Pre-defined position; Reliability and robustness; Self-powered; Single electrodes; Codes (symbols)","R-263-000-C91-305","English",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85066464311
