"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Spectrally Efficient Backscatter Systems: A Hardware-Oriented Survey","M. Alhassoun","Center for Communication Systems and Sensing, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia","IEEE Access","27 Jan 2023","2023","11","","8332","8344","The growing interest in backscatter communications as a low-powered solution in various fields necessitates pushing the envelope of current backscatter systems in multiple frontiers, among which is spectral efficiency. The increase in spectral efficiency can drive real-time applications such as augmented reality. In most of backscatter-system applications such as radio-frequency identification, backscatter modulation is implemented using binary schemes realized with square pulses, which are not spectral efficient. To address the spectral efficiency concern, this article reviews—with a scope limited to prototyped systems—some of the existing works in the literature that pertain to increasing the spectral efficiency of backscatter systems. The prototyped systems can be grouped—based on the implementation technique used—into three groups: High-order modulation, single-sideband modulation, and pulse shaping. Based on the current trends and studied literature, the article concludes with discussions on some future directions and open-ended research problems such as optimal pulse shaping, the use of artificial intelligence, multi-carrier modulation, and agile modulation; which are all aim for overcoming the spectral-efficiency limit of contemporary backscatter systems.","2169-3536","","10.1109/ACCESS.2023.3237941","King Fahd University of Petroleum & Minerals; Deanship of Research Oversight and Coordination(grant numbers:SR201011); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10018956","ASK;backscatter communications;PSK;pulse shaping;QAM;RFID;single sideband modulation","Backscatter;Modulation;Protocols;Signal to noise ratio;Radiofrequency identification;Amplitude shift keying;Quadrature amplitude modulation","augmented reality;backscatter;modulation;optical modulation;radiofrequency identification","backscatter communications;backscatter modulation;backscatter-system applications;contemporary backscatter systems;current backscatter systems;efficient backscatter systems;hardware-oriented survey;low-powered solution;prototyped systems-some;spectral efficiency concern;spectral-efficiency limit","","","","80","CCBY","18 Jan 2023","","","IEEE","IEEE Journals"
"Resource Allocation Scheme Based on Complete Planning Process for Immediate and Advance Reservation in SDM-EONs","J. Zhang; B. Bao; Q. Yao; D. Ren; J. Hu; J. Zhao","Hebei Key Laboratory of Security and Protection Information Sensing and Processing, Hebei University of Engineering, Handan, China; School of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, Beijing, China; School of Information Photonics and Optical Communications, Beijing University of Posts and Telecommunications, Beijing, China; Hebei Key Laboratory of Security and Protection Information Sensing and Processing, Hebei University of Engineering, Handan, China; Hebei Key Laboratory of Security and Protection Information Sensing and Processing, Hebei University of Engineering, Handan, China; Hebei Key Laboratory of Security and Protection Information Sensing and Processing, Hebei University of Engineering, Handan, China","IEEE Access","23 Nov 2021","2021","9","","153575","153585","Immediate reservation (IR) and advanced reservation (AR) become two common traffic models for future space division multiplexing-elastic optical networks (SDM-EONs). However, it is crucial to reduce conflicts between different types of requests and to accommodate more requests with limited resources. In this paper, we propose a resource allocation scheme based on complete planning process (RA-CPP) for IR and AR in SDM-EONs, including request provisioning, resource planning, passive adjustment, and active adjustment. In the request provisioning, the starting time of requests is considered and the earlier transmitted requests have higher resource selection priority. Next, the spectrum blocks with minimal resource spacing between adjacent requests (RS-AR) are planned for requests to maximize the free resources of the network in the resource planning. In addition, for the new request that would be blocked, passive adjustment begins. After planning reserved resources for the new request, conflicting AR requests are re-provisioned. Finally, the active adjustment re-optimizes the resources by increasing the tightness of spectrum resources. Simulation results show that the proposed RA-CPP scheme has greater advantages in blocking probability and spectrum utilization compared with the benchmark schemes.","2169-3536","","10.1109/ACCESS.2021.3127317","National Natural Science Foundation of China(grant numbers:61905060); Natural Science Foundation of Hebei Province(grant numbers:F2019402240,F2018402198); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9611289","Advanced reservation (AR);blocking probability;complete planning process;elastic optical networks (EONs);immediate reservation (IR);space division multiplexing (SDM)","Resource management;Planning;Optical fiber networks;WDM networks;Routing;Optimization;Quality of service","optical crosstalk;optical fibre networks;probability;resource allocation;space division multiplexing;telecommunication network routing;telecommunication traffic;wavelength assignment","complete planning process;SDM-EONs;request provisioning;resource planning;passive adjustment;active adjustment;earlier transmitted requests;higher resource selection priority;minimal resource spacing;adjacent requests;free resources;reserved resources;AR requests;spectrum resources;RA-CPP scheme;resource allocation scheme;immediate advance reservation;advanced reservation;future space division multiplexing-elastic","","","","40","CCBY","10 Nov 2021","","","IEEE","IEEE Journals"
"Urban Intelligence With Deep Edges","G. White; S. Clarke","School of Computer Science and Statistics, Trinity College Dublin, Dublin 2, Ireland; School of Computer Science and Statistics, Trinity College Dublin, Dublin 2, Ireland","IEEE Access","13 Jan 2020","2020","8","","7518","7530","With the increased accuracy available from state of the art deep learning models and new embedded devices at the edge of the network capable of running and updating these models there is potential for urban intelligence at the edge of the network. The physical proximity of these edge devices will allow for intelligent reasoning one hop away from data generation. This will allow a range of modern urban reasoning applications that require reduced latency and jitter such as remote surgery, vehicle collision detection and augmented reality. The traffic flow from IoT devices to the cloud will also be reduced as with the increased accuracy from deep learning models only a subset of the data will need to be reported after a first pass analysis. However, the training time of deep learning models can be long, taking weeks on multiple desktop GPUs for large datasets. In this paper we show how transfer learning can be used to update the last layers of pre-trained models at the edge of the network, dramatically reducing the training time and allowing the model to perform new tasks without data ever having to be sent to the cloud. This will also improve the users' privacy, which is a key requirement for urban intelligence applications with the introduction of GDPR. We compare our approach to alternative IoT urban intelligence architectures such as cloud-based architectures and deep learning algorithms trained only on local data.","2169-3536","","10.1109/ACCESS.2020.2963912","Science Foundation Ireland(grant numbers:13/IA/1885); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8949510","Edge computing;transfer learning;deep learning;urban intelligence;IoT;QoS","Cloud computing;Deep learning;Image edge detection;Augmented reality;Delays;Data models;Computer architecture","cloud computing;data privacy;embedded systems;Internet of Things;learning (artificial intelligence);neural nets","deep edges;embedded devices;edge devices;intelligent reasoning one hop;data generation;vehicle collision detection;IoT devices;transfer learning;deep learning;IoT urban intelligence architectures;users privacy","","15","","96","CCBY","3 Jan 2020","","","IEEE","IEEE Journals"
"Communications in the 6G Era","H. Viswanathan; P. E. Mogensen","Nokia Bell Labs, Murray Hill, USA; Nokia Bell Labs, Aalborg, Denmark","IEEE Access","30 Mar 2020","2020","8","","57063","57074","The focus of wireless research is increasingly shifting toward 6G as 5G deployments get underway. At this juncture, it is essential to establish a vision of future communications to provide guidance for that research. In this paper, we attempt to paint a broad picture of communication needs and technologies in the timeframe of 6G. The future of connectivity is in the creation of digital twin worlds that are a true representation of the physical and biological worlds at every spatial and time instant, unifying our experience across these physical, biological and digital worlds. New themes are likely to emerge that will shape 6G system requirements and technologies, such as: (i) new man-machine interfaces created by a collection of multiple local devices acting in unison; (ii) ubiquitous universal computing distributed among multiple local devices and the cloud; (iii) multi-sensory data fusion to create multi-verse maps and new mixed-reality experiences; and (iv) precision sensing and actuation to control the physical world. With rapid advances in artificial intelligence, it has the potential to become the foundation for the 6G air interface and network, making data, compute and energy the new resources to be exploited for achieving superior performance. In addition, in this paper we discuss the other major technology transformations that are likely to define 6G: (i) cognitive spectrum sharing methods and new spectrum bands; (ii) the integration of localization and sensing capabilities into the system definition, (iii) the achievement of extreme performance requirements on latency and reliability; (iv) new network architecture paradigms involving sub-networks and RAN-Core convergence; and (v) new security and privacy schemes.","2169-3536","","10.1109/ACCESS.2020.2981745","Nokia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9040431","6G;AI/ML driven air interface;network localization and sensing;cognitive spectrum sharing;sub-terahertz;RAN-Core convergence;subnetworks;security;privacy;network as a platform","6G mobile communication;5G mobile communication;Robot sensing systems;Biology;Digital twin;User interfaces","6G mobile communication;artificial intelligence;cognitive radio;data privacy;Internet;mobility management (mobile radio);radio spectrum management;sensor fusion;ubiquitous computing","physical worlds;biological worlds;spatial time instant;digital worlds;6G system requirements;man-machine interfaces;multiple local devices;ubiquitous universal computing;multisensory data fusion;multiverse maps;mixed-reality experiences;precision sensing;physical world;artificial intelligence;technology transformations;cognitive spectrum sharing methods;sensing capabilities;system definition;extreme performance requirements;6G era;wireless research;future communications;broad picture;timeframe;digital twin worlds","","307","","41","CCBY","18 Mar 2020","","","IEEE","IEEE Journals"
"Blind System Identification in Noise Using a Dynamic-Based Estimator","S. Mukhopadhyay; B. Li; H. Leung","Department of Electrical Engineering and Computer Science, York University, Toronto, ON, Canada; Department of Electrical and Computer Engineering, University of Calgary, Calgary, AB, Canada; Department of Electrical and Computer Engineering, University of Calgary, Calgary, AB, Canada","IEEE Access","22 Jan 2021","2021","9","","12861","12878","In this work we consider the problem of blind system identification in noise driven by an independent and identically distributed (i.i.d) non-Gaussian signal generated from a deterministic nonlinear chaotic system. A new estimator for the phase space volume (PSV) which is a dynamic-based property of chaos is derived using the maximum likelihood formulation. This novel estimator of PSV is denoted as the maximum likelihood phase space volume (ML-PSV). The Cramér Rao Lower Bound (CRLB) of the ML-PSV estimator has also been derived. We have shown that the mean square error of the ML-PSV estimate gradually approaches its CRLB asymptotically. An algorithm is formulated that applies the ML-PSV estimator as an objective function in the task of blind system identification of autoregressive (AR) and moving average (MA) models. The proposed technique is shown to improve blind identification performance at low signal-to-noise ratio (SNR) when the system is driven by both chaotic numeric and symbolic signals. The efficiency of our proposed method is compared with conventional blind identification methods through simulations. Our technique is further validated through experimental evaluation based on a software defined radio (SDR). Results show that the ML-PSV method outperforms the existing blind identification methods producing estimates at a low SNR of  $\le20$  dB.","2169-3536","","10.1109/ACCESS.2021.3051646","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9323054","Chaos;nonlinear dynamics;maximum likelihood;Cramér Rao lower bound (CRLB);blind system identification;symbolic dynamics;software defined radio","Chaotic communication;Signal to noise ratio;Time series analysis;Maximum likelihood estimation;Nonlinear dynamical systems;Blind equalizers;Trajectory","autoregressive moving average processes;blind source separation;chaotic communication;maximum likelihood estimation;mean square error methods;software radio","mean square error;i.i.d nonGaussian signal;independent and identically distributed nonGaussian signal;Cramer-Rao lower bound;SDR;software defined radio;SNR;MA models;moving average models;AR models;autoregressive models;blind identification methods;ML-PSV method;symbolic signals;chaotic numeric signals;signal-to-noise ratio;ML-PSV estimator;maximum likelihood phase space volume;maximum likelihood formulation;deterministic nonlinear chaotic system;dynamic-based estimator;blind system identification","","3","","52","CCBY","14 Jan 2021","","","IEEE","IEEE Journals"
"Adaptive Slide Window-Based Feature Cognition for Deceptive Information Identification","H. Yang; Z. Xu; L. Liu; J. Tian; Y. Zhang","Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; College of Data Science and Application, Inner Mongolia University of Technology, Hohhot, China; Department of Computer Science, New Jersey Institute of Technology, Newark, USA; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China","IEEE Access","28 Jul 2020","2020","8","","134311","134323","Numerous false information come up to be the primary threat for regular communication and cooperation, which always have similar expressions and diffusion patterns with regular information. To recognize deceptive information and alleviate their threat against business and economy, a number of research approaches for deceptive information identification have been proposed. However, these approaches suffer from their rough feature extraction processes, and thus cannot distinguish deceptive information from others. We introduce an adaptive slide-window based feature extraction, which captures semantic features and eliminates the trivial parts from them with adaptive slide windows on sentence elements, in order to facilitate accurate semantic structure representation of various texts. In addition, we propose a deep deceptive information identification model based on the proposed feature extraction scheme. Experiments on three real-world datasets demonstrate that the proposed deep deceptive information identification model can distinguish deceptive information from regular information accurately by extracting the significant features instead of trivial common expressions.","2169-3536","","10.1109/ACCESS.2020.3011072","National Basic Research Program of China (973 Program)(grant numbers:2018YFB1800403,2016YFE0121500); National Science Foundation of China(grant numbers:61902382,61972381,61672500,61962045,61502255,61650205); Strategic Priority Research Program of Chinese Academy of Sciences(grant numbers:XDC02030500); Natural Science Foundation of Inner Mongolia Autonomous Region(grant numbers:2017MS(LH)0601,2018MS06003); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9146282","Deceptive information cognition;adaptive slide window;semantic structure representation;trivial sentence element elimination;convolutional neural network","Feature extraction;Semantics;Adaptation models;Data mining;Cognition;Convolutional neural networks;Business","augmented reality;feature extraction","adaptive slide window-based feature cognition;numerous false information;regular communication;diffusion patterns;rough feature extraction processes;adaptive slide-window;semantic features;adaptive slide windows;deep deceptive information identification model;feature extraction scheme","","1","","43","CCBY","22 Jul 2020","","","IEEE","IEEE Journals"
"Enabling Hardware Performance Counters for Microkernel-Based Virtualization on Embedded Systems","D. Mathew; B. A. Jose; J. Mathew; P. Patra","Department of Electronics, Cochin University of Science and Technology, Kochi, India; Department of Electronics, Cochin University of Science and Technology, Kochi, India; Department of Computer Science and Engineering, IIT Patna, Patna, India; School of Computer Science and Engineering, Xavier University Bhubaneswar, Bhubaneswar, India","IEEE Access","22 Jun 2020","2020","8","","110550","110564","Virtualization techniques continue to evolve at rapid speed and have now come to find its application in embedded and mobile computing devices. Virtualization improves the utilization of system resources effectively and also enhances security by providing isolated environments to run untrusted applications. There are various approaches to virtualization of embedded systems, from among them, we have chosen microkernel-based virtualization for our analysis due to its low memory requirements and advantages in terms of security. The microkernel selected for our work is the L4/Fiasco microkernel. Most of the modern CPUs consist of Performance Monitoring Unit (PMUs), which have a set of hardware counters that can be configured to monitor events. These hardware performance counters in the PMU block is not accessible from a microkernel-based virtualization environment. Access to PMU from a virtual environment would facilitate profiling with better accuracy and reduced overheads. To get this realized we propose a method to access the hardware performance counters from a microkernel-based virtualization environment. We have used this implementation to analyze the performance of applications in a microkernel-based virtual environment and to compare its performance in a non-virtual environment.","2169-3536","","10.1109/ACCESS.2020.3002106","Early Career Research Award to Dr. Bijoy Antony Jose by the Science and Engineering Research Board, Department of Science and Technology, Government of India(grant numbers:ECR/2016/000448); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9115598","Virtualization;microkernel;embedded systems;PMU;performance;perf","Virtualization;Hardware;Embedded systems;Security;Phasor measurement units;Linux;Tools","embedded systems;mobile computing;mobile handsets;operating system kernels;security of data;virtual reality;virtualisation","embedded systems;virtualization techniques;embedded computing devices;mobile computing devices;hardware counters;microkernel-based virtualization environment;nonvirtual environment;hardware performance counters;L4-Fiasco microkernel;performance monitoring unit;PMUs","","3","","30","CCBY","12 Jun 2020","","","IEEE","IEEE Journals"
"Bargaining Game-Based Resource Management for Pervasive Edge Computing Infrastructure","S. Kim","Department of Computer Science, Sogang University, Mapo-gu, Seoul, South Korea","IEEE Access","17 Jan 2022","2022","10","","4072","4080","The explosive growth of Internet of things (IoT) devices has promoted the prosperity of virtual reality applications, which can be realized by service offloading with the assistance of pervasive edge computing (PEC) platforms. However, owing to the limited computational and communication resources of PEC systems, it is necessary to design a novel resource management algorithm. In this study, we adopt cooperative bargaining theory to design our PEC resource allocation scheme. According to the concept of unification bargaining solution, different bargaining ideas are reciprocally combined to provide a fair-efficient solution. By coordinating network agents, we can leverage mutual consensus and approximate a well-balanced system performance among conflicting requirements. It is essential to explore the relevant trade-off between efficiency and fairness. To effectively share the PEC resources, the main novelty of our approach is its adaptability and flexibility to respond dynamic PEC system environments. Finally, extensive simulations are carried out, and the numerical results demonstrate that our unified bargaining method can obtain desirable features while maximizing the offloading service performance by comparing the existing state-of-the-art PEC control protocols.","2169-3536","","10.1109/ACCESS.2022.3140663","Ministry of Science and ICT (MSIT), South Korea, under the Information Technology Research Center (ITRC) Support Program Supervised by the Institute for Information and Communications Technology Planning and Evaluation (IITP)(grant numbers:IITP-2021-2018-0-01799); Basic Science Research Program through the National Research Foundation of Korea (NRF) by the Ministry of Education(grant numbers:2021R1F1A1045472); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9672154","Pervasive edge computing;Internet of Things;unification bargaining solution;computation offloading;cooperative game theory","Games;Edge computing;Servers;Resource management;Quality of experience;Security;Performance evaluation","game theory;resource allocation;virtual reality","bargaining game-based resource management;things devices;virtual reality applications;service offloading;pervasive edge computing;computational communication resources;PEC systems;novel resource management algorithm;bargaining theory;PEC resource allocation scheme;unification bargaining solution;different bargaining ideas;fair-efficient solution;leverage mutual consensus;approximate;system performance;relevant trade-off between efficiency;PEC resources;dynamic PEC system environments;unified bargaining method;offloading service performance;existing state-of-the-art PEC control protocols","","","","21","CCBY","6 Jan 2022","","","IEEE","IEEE Journals"
"Multi Scale-Adaptive Super-Resolution Person Re-Identification Using GAN","M. Adil; S. Mamoon; A. Zakir; M. A. Manzoor; Z. Lian","School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China; School of Information Science and Technology, East China University of Science and Technology, Shanghai, China; School of Computer Science and Engineering, Nanjing University of Science and Technology, Nanjing, China","IEEE Access","6 Oct 2020","2020","8","","177351","177362","In real-world surveillance systems, the person images captured by the camera network consists of various low-resolution (LR) images. It creates a resolution mismatching problem when compared against high-resolution images of a targeted person. It significantly affects the performance of person re-Identification. This problem is known as Low-Resolution Person re-identification (LR PREID). An efficient strategy would be to exploit image super-resolution (SR) with person re-identification as a mutual learning approach. In this paper, we propose a novel method MSA-SR-PREID to solve this problem. The model takes low-resolution images on different resolutions and resized them to pre-defined fixed resolution. The design of the super-resolution network consists of ESRGAN and the de-Noising module to generate super-resolution images. The SR images are later passed to the re-identification network to learn the unique descriptors to recognize a person identity. The performance of this model is evaluated on four competitive benchmarks, MLR-VIPeR, MLR-DukeMTMC-reID, VR-MSMT17, and VR-Market1501. The comparison with similar state-of-the-art demonstrates the superiority of our model.","2169-3536","","10.1109/ACCESS.2020.3023594","Fundamental Research Funds for the Central Universities(grant numbers:30919011401,30919011231); China Postdoctoral Science Foundation(grant numbers:2015M581800); National Key Research and Development Program of China(grant numbers:2016YFF0103604); Visiting Scholar Foundation of Key Laboratory of Biorheological Science and Technology, Ministry of Education, Chongqing University(grant numbers:CQKLBST-2018-011); Foundation of Shandong Provincial Key Laboratory of Digital Medicine and Computer Assisted Surgery(grant numbers:SDKL-DMCAS-2018-04); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9195535","Person re-identification;low-resolution person re-identification;super-resolution;image de-noising","Image resolution;Feature extraction;Gallium nitride;Generative adversarial networks;Surveillance;Cameras;Noise reduction","image denoising;image resolution;learning (artificial intelligence);neural nets","super-resolution network;super-resolution images;SR images;re-identification network;person identity;person images;low-resolution images;resolution mismatching problem;high-resolution images;targeted person;low-resolution person reidentification;image super-resolution;fixed resolution;multiscale-adaptive super-resolution person reidentification;denoising module;MSA-SR-PREID;GAN","","10","","78","CCBYNCND","14 Sep 2020","","","IEEE","IEEE Journals"
"Practical Verifiable Computation–A MapReduce Case Study","Y. Wang; Y. Shen; X. Jiang","School of Computer Science and Technology, Xidian University, Xi’an, China; School of Computer Science and Technology, Xidian University, Xi’an, China; School of Computer Science and Technology, Xidian University, Xi’an, China","IEEE Transactions on Information Forensics and Security","7 Feb 2018","2018","13","6","1376","1391","Public cloud vendors have been offering a variety of big data computing services on their clouds. However, runtime integrity is one of the major security concerns that hinder the wide adoption of those services. In this paper, we focus on MapReduce, a popular big data computing framework, and propose the runtime integrity audition (RIA), a solution that remotely verifies the runtime integrity of MapReduce applications. RIA records the runtime variable values of the MapReduce application on the public cloud and checks those values against the application's code on the private cloud. By doing so, RIA protects the runtime integrity of MapReduce applications. Based on the idea of RIA, we developed a prototype system, called MR Auditor, and tested its applicability and performance with several Hadoop applications. Our experimental results showed that MR Auditor is a general tool that can efficiently audit the runtime integrity of all the MapReduce applications that we tested. In addition, MR Auditor incurs a moderate performance overhead. For example, when verifying the Word Count application, a proper parameter setting of MR Auditor incurs 1% of extra execution time on the public cloud and 14% of extra execution time on the private cloud.","1556-6021","","10.1109/TIFS.2017.2787993","National Natural Science Foundation of China(grant numbers:61602364); Natural Science Foundation of Shaanxi Province(grant numbers:2017JM6083); Open Fund of the Chinese Key Laboratory of the Grain Information Processing and Control(grant numbers:KFJJ-2015-202); Natural Science Foundation of China(grant numbers:61373173,U1536202,61602365); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8241805","Runtime integrity;remote verification;cloud computing;mapreduce","Cloud computing;Runtime;Security;Computational modeling;Big Data;Computer science","auditing;Big Data;cloud computing;formal verification;parallel processing;security of data","practical verifiable computation;public cloud vendors;runtime integrity audition;RIA;MapReduce application;runtime variable values;private cloud;Hadoop applications;MR Auditor;Word Count application;Big Data computing services","","5","","44","OAPA","29 Dec 2017","","","IEEE","IEEE Journals"
"Metaverses-Based Parallel Oil Fields in CPSS: A Framework and Methodology","X. Wang; X. Cheng; J. Lu; O. Kwan; S. Li; Z. Ping","State Key Laboratory for Management and Control of Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; State Key Laboratory for Management and Control of Complex Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China; Qingdao Academy of Intelligent Industries, Qingdao, China; Motion G, Inc., Tanjong Pagar, Singapore; North Automatic Control Technology Institute, Taiyuan, China; North Automatic Control Technology Institute, Taiyuan, China","IEEE Transactions on Systems, Man, and Cybernetics: Systems","16 Mar 2023","2023","53","4","2138","2147","Aiming to provide a novel paradigm of oil fields, metaverses-based parallel oil fields are proposed in this article. Compared with the existing smart/intelligent oil fields in cyber–physical systems (CPS), parallel oil fields can take human factors into full consideration and expand the operation space to cyber–physical–social systems (CPSS), which can be regarded as the abstract and scientific explanation of metaverses. In the proposed parallel oil fields, there are three kinds of workers (human workers, digital workers, and robotic workers) coordinating to construct a more reliable and intelligent oil field. Furthermore, the framework and methodology of parallel oil fields are illustrated by parallel systems and the artificial systems, computational experiments, and parallel executions (ACP) approach. Based on the proposed framework, parallel oil fields are capable of generating a more trustworthy artificial system and guaranteeing the realization of the 6S (safety, security, sustainability, sensitivity, service, and smartness) goal. Finally, based on dynamometer cards, fault diagnosis of sucker rod pumping systems (SRPS) is investigated in parallel oil fields.","2168-2232","","10.1109/TSMC.2022.3228934","Motion G, Inc. Collaborative Research Project for Modeling, Decision and Control Algorithms of Servo Drive Systems; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9997139","Artificial systems;computational experiments;and parallel executions (ACP) approach;Cyber–physical–social systems (CPSS);digital workers;fault diagnosis;metaverses-based parallel oil fields;parallel systems","Oils;Robots;Industries;Task analysis;Production;Human factors;Fourth Industrial Revolution","","","","","","108","CCBY","22 Dec 2022","","","IEEE","IEEE Journals"
"A Novel Blockchain-as-a-Service (BaaS) Platform for Local 5G Operators","N. Weerasinghe; T. Hewa; M. Liyanage; S. S. Kanhere; M. Ylianttila","Center for Wireless Communications, University of Oulu, Oulu, Finland; Center for Wireless Communications, University of Oulu, Oulu, Finland; School of Computer Science, University College Dublin, Dublin 4, Ireland; School of Computer Science and Engineering, University of New South Wales, Sydney, NSW, Australia; Center for Wireless Communications, University of Oulu, Oulu, Finland","IEEE Open Journal of the Communications Society","2 Apr 2021","2021","2","","575","601","5G is a promising technology that has the potential to support verticals and applications such as Industrial Internet of Things IoT (IIoT), smart cities, autonomous vehicles, remote surgeries, virtual and augmented realities, and so on. These verticals have a diverse set of network connectivity requirements, and it is challenging to deliver customized services for each by using a common 5G infrastructure. Thus, the operation of Local 5G operator (L5GO) networks or private 5G networks are a viable option to tackle this challenge. A L5GO network is a localized small cell network which can offer tailored service delivery. The adaptation of network softwarization in 5G allows vertical owners to deploy and operate L5GO networks. However, the deployment of L5GOs raises various issues related to management of subscribers, roaming users, spectrum, security, and also the infrastructure. This paper proposes a blockchain-based platform to address these issues. The paper introduces a set of blockchain-based modularized functions such as service rating systems, bidding techniques, and selection functions, which can be used to deploy different services for L5GOs. Exploitation of blockchain technology ensures availability, non-reliance on trusted third parties, secure transfer payments, and stands to gain many more advantages. The performance and the viability of the proposed platform are analyzed by using simulations and a prototype implementation.","2644-125X","","10.1109/OJCOMS.2021.3066284","European Union in RESPONSE 5G(grant numbers:789658); Academy of Finland in 6Genesis(grant numbers:318927); 5GEAR(grant numbers:319669 projects); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9382004","5G;local 5G operators;blockchain;smart contracts","5G mobile communication;Blockchain;Smart contracts;Ecosystems;Quality of service;Base stations","5G mobile communication;augmented reality;blockchains;cloud computing;customer services;Internet of Things;mobile computing;mobile radio;surgery;telecommunication computing","local 5G operators;verticals;blockchain-as-a-service platform;blockchain-based platform;network softwarization;localized small cell network;L5GO;customized services;network connectivity requirements","","17","","45","CCBY","19 Mar 2021","","","IEEE","IEEE Journals"
"A Hybrid Framework for Topology Identification of Distribution Grid With Renewables Integration","X. He; R. C. Qiu; Q. Ai; T. Zhu","Department of Electrical Engineering, Shanghai Jiaotong University, Shanghai, China; Electrical Engineering and Computer Engineering, Tennessee Technological University, Cookeville, TN, USA; Department of Electrical Engineering, Shanghai Jiaotong University, Shanghai, China; Department of Electrical Engineering, Shanghai Jiaotong University, Shanghai, China","IEEE Transactions on Power Systems","19 Feb 2021","2021","36","2","1493","1503","Topology identification (TI) is a key task for state estimation (SE) in distribution grids, especially the one with high-penetration renewables. The uncertainties, initiated by the time-series behavior of renewables, will almost certainly lead to bad TI results without a proper treatment. These uncertainties are analytically intractable under conventional framework-they are usually jointly spatial-temporal dependent, and hence cannot be simply treated as white noise. For this purpose, a hybrid framework is suggested in this paper to handle these uncertainties in a systematic and theoretical way; in particular, big data analytics are studied to harness the jointly spatial-temporal statistical properties of those uncertainties. With some prior knowledge, a model bank is built first to store the countable typical models of network configurations; therefore, the difference between the SE outputs of each bank model and our observation is capable of being defined as a matrix variate-the so-called random matrix. In order to gain insight into the random matrix, a well-designed metric space is needed. Auto-regression (AR) model, factor analysis (FA), and random matrix theory (RMT) are tied together for the metric space design, followed by jointly temporal-spatial analysis of those matrices which is conducted in a high-dimensional (vector) space. Under the proposed framework, some big data analytics and theoretical results are obtained to improve the TI performance. Our framework is validated using IEEE standard distribution network with some field data in practice.","1558-0679","","10.1109/TPWRS.2020.3024955","National Key Research and Development Program of China Stem Cell and Translational Research(grant numbers:2016YFB0901300); National Natural Science Foundation of China(grant numbers:51907121,U1866206); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9200525","Topology identification;renewables;uncertainty;random matrix theory;AR model;factor analysis;high dimension","Uncertainty;Analytical models;Big Data;Data models;Matrix converters;Task analysis;Power systems","Big Data;data analysis;matrix algebra;random processes;statistical analysis;statistical distributions;time series;white noise","topology identification;distribution grid;renewables integration;state estimation;high-penetration;bad TI results;white noise;big data analytics;spatial-temporal statistical properties;countable typical models;network configurations;SE outputs;bank model;matrix variate;auto-regression model;random matrix theory;metric space design;temporal-spatial analysis;high-dimensional space;TI performance;IEEE standard distribution network","","11","","36","CCBYNCND","18 Sep 2020","","","IEEE","IEEE Journals"
